target_addr: 0x411c18 ,  target_name: start_lan_ipv6 ,  source_name: start_lan_ipv6 ,  source_insr_addr: 0x411f04,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x411f14  ,sink_addr: start_lan_ipv6 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x411f08#0x411eec ,  path: 0x411f08#0x411eec ,  lan0_ipv6_ula_prefix ,  lan0_ipv6_prefix
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452d18  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_match#sscanf#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 2,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452d0c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x452d0c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  lan0_ipv6_prefix
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452d5c  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_match#sscanf#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 3,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452d50#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x452d50#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  lan0_ipv6_prefix
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452da0  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_match#sscanf#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 4,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452d94#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x452d94#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  lan0_ipv6_prefix
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452e14  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_match#sscanf#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 5,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452e08#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x452e08#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  lan0_ipv6_prefix
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452de4  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_match#sscanf#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 5,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  lan0_ipv6_prefix
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x4537a8  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: strncpy#strncpy#getenv,  fail2captureConditionsTime: 10,  error_messges_str: ,  str_length_visited_function: strncpy*100 ,  path_flag: 0x453798#0x453778#0x453768#0x453740#0x453710#0x4536f8#0x4536dc#0x4536d4#0x4536c0#0x4536a4#0x453674#0x453650#0x453630#0x453624#0x4535fc#0x4535e0#0x4535bc#0x4535a0#0x45358c#0x453584#0x453570#0x453560#0x4534a8#0x453490#0x453468#0x453450#0x453430#0x453420#0x453418#0x453404#0x4533e8#0x4533dc#0x4533b8#0x453398#0x45337c#0x45332c#0x453310#0x4532bc#0x45326c#0x453250#0x453200#0x4531f4#0x4531d0#0x4531b0#0x45319c#0x453188#0x453184#0x452ff8#0x452fd8#0x452fc0#0x452fa8#0x452f8c#0x452f84#0x452f70#0x452f54#0x452f20#0x452f00#0x452ee8#0x452ed0#0x452eb4#0x452eac#0x452e98#0x452e7c#0x452e78#0x452e64#0x452e54#0x452e50#0x452e30#0x452dfc#0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0#0x4528b4#0x452898#0x452878#0x452868#0x452854#0x452850#0x452830#0x452810#0x452804#0x4527e4#0x4527c4#0x4527a4#0x452788#0x452760#0x45273c#0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  path: 0x453798#0x453778#0x453768#0x453740#0x453710#0x4536f8#0x4536dc#0x4536d4#0x4536c0#0x4536a4#0x453674#0x453650#0x453630#0x453624#0x4535fc#0x4535e0#0x4535bc#0x4535a0#0x45358c#0x453584#0x453570#0x453560#0x4534a8#0x453490#0x453468#0x453450#0x453430#0x453420#0x453418#0x453404#0x4533e8#0x4533dc#0x4533b8#0x453398#0x45337c#0x45332c#0x453310#0x4532bc#0x45326c#0x453250#0x453200#0x4531f4#0x4531d0#0x4531b0#0x45319c#0x453188#0x453184#0x452ff8#0x452fd8#0x452fc0#0x452fa8#0x452f8c#0x452f84#0x452f70#0x452f54#0x452f20#0x452f00#0x452ee8#0x452ed0#0x452eb4#0x452eac#0x452e98#0x452e7c#0x452e78#0x452e64#0x452e54#0x452e50#0x452e30#0x452dfc#0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  dslite_aftripv6addr
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x452554,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x4537a8  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: strncpy#strncpy#strspn#getenv,  fail2captureConditionsTime: 9,  error_messges_str: ,  str_length_visited_function: strncpy*100 ,  path_flag: 0x453798#0x453778#0x453768#0x453740#0x453710#0x4536f8#0x4536dc#0x4536d4#0x4536c0#0x4536a4#0x453674#0x453650#0x453630#0x453624#0x4535fc#0x4535e0#0x4535bc#0x4535a0#0x45358c#0x453584#0x453570#0x453560#0x4534a8#0x453490#0x453468#0x453450#0x453430#0x453420#0x453418#0x453404#0x4533e8#0x4533dc#0x4533b8#0x453398#0x45337c#0x45332c#0x453310#0x4532bc#0x45326c#0x453250#0x453200#0x4531f4#0x4531d0#0x4531b0#0x45319c#0x453188#0x453184#0x452ff8#0x452fd8#0x452fc0#0x452fa8#0x452f8c#0x452f84#0x452f70#0x452f54#0x452f20#0x452f00#0x452ee8#0x452ed0#0x452eb4#0x452eac#0x452e98#0x452e7c#0x452e78#0x452e64#0x452e54#0x452e50#0x452e30#0x452dfc#0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0#0x4528b4#0x452898#0x452878#0x452868#0x452854#0x452544#0x4524c0#0x4524a8#0x4524a4#0x452484#0x452464#0x452460#0x452410#0x4523f4#0x4523a4#0x452398#0x452374#0x452354#0x452338#0x452318#0x4522f8#0x4522ec#0x4522bc#0x4522a0#0x452270#0x452248#0x45220c#0x4521ec#0x4521d0#0x4521c8#0x4521b4#0x452198 ,  path: 0x453798#0x453778#0x453768#0x453740#0x453710#0x4536f8#0x4536dc#0x4536d4#0x4536c0#0x4536a4#0x453674#0x453650#0x453630#0x453624#0x4535fc#0x4535e0#0x4535bc#0x4535a0#0x45358c#0x453584#0x453570#0x453560#0x4534a8#0x453490#0x453468#0x453450#0x453430#0x453420#0x453418#0x453404#0x4533e8#0x4533dc#0x4533b8#0x453398#0x45337c#0x45332c#0x453310#0x4532bc#0x45326c#0x453250#0x453200#0x4531f4#0x4531d0#0x4531b0#0x45319c#0x453188#0x453184#0x452ff8#0x452fd8#0x452fc0#0x452fa8#0x452f8c#0x452f84#0x452f70#0x452f54#0x452f20#0x452f00#0x452ee8#0x452ed0#0x452eb4#0x452eac#0x452e98#0x452e7c#0x452e78#0x452e64#0x452e54#0x452e50#0x452e30#0x452dfc#0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0#0x4528b4#0x452898#0x452878#0x452868#0x452854#0x452550 ,  RA_ADDRESSES ,  dslite_aftripv6addr
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x45219c,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x4537a8  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: add_ip6_lanaddr#strncpy#strncpy#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 8,  error_messges_str: ,  str_length_visited_function: strncpy*100 ,  path_flag: 0x453798#0x453778#0x453768#0x453740#0x453710#0x4536f8#0x4536dc#0x4536d4#0x4536c0#0x4536a4#0x453674#0x453650#0x453630#0x453624#0x4535fc#0x4535e0#0x4535bc#0x4535a0#0x45358c#0x453584#0x453570#0x453560#0x4534a8#0x453490#0x453468#0x453450#0x453430#0x453420#0x453418#0x453404#0x4533e8#0x4533dc#0x4533b8#0x453398#0x45337c#0x45332c#0x453310#0x4532bc#0x45326c#0x453250#0x453200#0x4531f4#0x4531d0#0x4531b0#0x45319c#0x453188#0x453184#0x452ff8#0x452fd8#0x452fc0#0x452fa8#0x452f8c#0x452f84#0x452f70#0x452f54#0x452f20#0x452f00#0x452ee8#0x452ed0#0x452eb4#0x452eac#0x452e98#0x452e7c#0x452e78#0x452e64#0x452e54#0x452e50#0x452e30#0x452dfc#0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x453798#0x453778#0x453768#0x453740#0x453710#0x4536f8#0x4536dc#0x4536d4#0x4536c0#0x4536a4#0x453674#0x453650#0x453630#0x453624#0x4535fc#0x4535e0#0x4535bc#0x4535a0#0x45358c#0x453584#0x453570#0x453560#0x4534a8#0x453490#0x453468#0x453450#0x453430#0x453420#0x453418#0x453404#0x4533e8#0x4533dc#0x4533b8#0x453398#0x45337c#0x45332c#0x453310#0x4532bc#0x45326c#0x453250#0x453200#0x4531f4#0x4531d0#0x4531b0#0x45319c#0x453188#0x453184#0x452ff8#0x452fd8#0x452fc0#0x452fa8#0x452f8c#0x452f84#0x452f70#0x452f54#0x452f20#0x452f00#0x452ee8#0x452ed0#0x452eb4#0x452eac#0x452e98#0x452e7c#0x452e78#0x452e64#0x452e54#0x452e50#0x452e30#0x452dfc#0x452dd8#0x452dc4#0x452d80#0x452d3c#0x452cf4#0x452ccc#0x452c3c#0x452c28#0x452c24#0x452c00#0x452be4#0x452bd8#0x452bb0#0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0#0x452198 ,  ADDRESSES ,  dslite_aftripv6addr
target_addr: 0x4562f8 ,  target_name: sub_4562f8 ,  source_name: sub_4562f8 ,  source_insr_addr: 0x456468,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4564d4  ,sink_addr: sub_4562f8 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: sprintf#strcpy#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x4564c4#0x456490#0x45646c#0x456450 ,  path: 0x4564c4#0x456490#0x45646c#0x456450 ,  usbdisks ,  usbdisks
target_addr: 0x4562f8 ,  target_name: sub_4562f8 ,  source_name: sub_4562f8 ,  source_insr_addr: 0x456508,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x456580  ,sink_addr: sub_4562f8 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: sprintf#strcpy#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x456570#0x456530#0x45650c#0x4564ec ,  path: 0x456570#0x456530#0x45650c#0x4564ec ,  usbdisksPath ,  usbdisksPath
